,Countries,New Cases,Total Cases,Total Deaths,Todays Deaths,Total Recoveries
90,Djibouti,999,+13,2 ,,330
91,Nigeria,981,,31 ,,197
92,Tunisia,918,,38 ,,190
93,Guinea,862,,6 ,,170
94,Cyprus,795,,13 ,,98
95,Latvia,784,+6,12 ,+1,133
96,Andorra,723,,37 ,,333
97,Diamond Princess,712,,13 ,,645
98,Bolivia,703,+31,43 ,+3,44
99,Lebanon,696,+8,22 ,,140
100,Costa Rica,686,,6 ,,196
101,Albania,678,+15,27 ,,394
102,Niger,671,,24 ,,256
103,Kyrgyzstan,656,+25,8 ,,322
104,Burkina Faso,616,,41 ,,410
105,Honduras,562,+43,47 ,,50
106,Uruguay,557,+8,12 ,,354
107,Senegal,545,+66,6 ,,262
108,Channel Islands,521,,29 ,,295
109,San Marino,501,,40 ,,63
110,Palestine,480,,4 ,,92
111,Malta,447,+2,3 ,,223
112,Jordan,437,,7 ,,318
113,Georgia,431,+6,5 ,,114
114,Taiwan,428,+1,6 ,,264
115,Sri Lanka,414,+46,7 ,,109
116,Réunion,412,, ,,238
117,DRC,394,+17,25 ,,48
118,Guatemala,384,+42,11 ,+1,30
119,Mayotte,354,+28,4  ,,144
120,Kenya,336,+16,14 ,,89
121,Mauritius,331,,9 ,,266
122,Somalia,328,,16 ,,8
123,Montenegro,319,+3,5 ,,123
124,Venezuela,311,+13,10 ,,126
125,Mali,309,,21 ,,77
126,Isle of Man,307,,16 ,,221
127,Tanzania,284,,10  ,,48
128,Vietnam,270,+2, ,,225
129,El Salvador,261,+11,8 ,,72
130,Jamaica,257,+5,6 ,,28
131,Paraguay,220,+7,9 ,,70
132,Faeroe Islands,187,, ,,178
133,Congo,186,,6 ,,16
134,Sudan,174,+12,16 ,+3,14
135,Martinique,170,+6,14 ,,77
136,Gabon,167,,2 ,,24
137,Rwanda,154,, ,,87
138,Guadeloupe,149,+1,12 ,,82
139,Myanmar,139,+7,5 ,,9
140,Brunei ,138,,1 ,,120
141,Gibraltar,133,, ,,129
142,Cambodia,122,, ,,110
143,Madagascar,122,+1, ,,61
144,Liberia,117,+16,8 ,,25
145,Ethiopia,117,+1,3 ,,25
146,Maldives,116,+8, ,,16
147,Trinidad and Tobago,115,,8 ,,48
148,French Guiana,107,,1 ,,84
149,Aruba,100,,2 ,,68
150,Bermuda,99,,5 ,,39
151,Monaco,94,,4  ,,35
152,Togo,90,+2,6 ,,59
153,Cabo Verde,88,+6,1 ,,1
154,Equatorial Guinea,84,,1 ,,7
155,Sierra Leone,82,+18,2 ,+1,10
156,Liechtenstein,81,,1 ,,55
157,Barbados,76,,6 ,,30
158,Zambia,76,,3 ,,37
159,Uganda,74,, ,,46
160,Sint Maarten,73,,12 ,,22
161,Bahamas,72,,11 ,,14
162,Haiti,72,,5 ,,2
163,Guyana,70,,7 ,,12
164,Cayman Islands,66,,1 ,,7
165,Libya,60,,2 ,,18
166,French Polynesia,57,, ,,36
167,Benin,54,,1 ,,27
168,Guinea-Bissau,50,, ,,3
169,Nepal,48,, ,,10
170,Mozambique,46,, ,,12
171,Macao,45,, ,,27
172,Syria,42,,3 ,,6
173,Chad,40,+7, ,,8
174,Eritrea,39,, ,,11
175,Saint Martin,38,,2 ,,20
176,Eswatini,36,+5,1 ,,10
177,Mongolia,36,+1, ,,9
178,Malawi,33,,3 ,,3
179,Zimbabwe,29,+1,4 ,,2
180,Angola,25,,2 ,,6
181,Antigua and Barbuda,24,,3 ,,10
182,Timor-Leste,23,, ,,1
183,Botswana,22,,1 ,,
184,Laos,19,, ,,4
185,Belize,18,,2 ,,5
186,Fiji,18,, ,,10
187,New Caledonia,18,, ,,17
188,CAR,16,, ,,10
189,Dominica,16,, ,,9
190,Namibia,16,, ,,7
191,Grenada,15,, ,,7
192,Saint Kitts and Nevis,15,, ,,2
193,Saint Lucia,15,, ,,15
194,Curaçao,14,,1 ,,11
195,St. Vincent Grenadines,14,+1, ,,5
196,Falkland Islands,12,, ,,11
197,Nicaragua,11,,3 ,,7
198,Burundi,11,,1 ,,4
199,Turks and Caicos,11,,1 ,,4
200,Greenland,11,, ,,11
201,Montserrat,11,, ,,2
202,Seychelles,11,, ,,6
203,Gambia,10,,1 ,,2
204,Suriname,10,,1 ,,6
205,MS Zaandam,9,,2 ,,
206,Vatican City,9,, ,,2
207,Papua New Guinea,8,, ,,
208,Mauritania,7,,1 ,,6
209,Bhutan,7,, ,,3
210,St. Barth,6,, ,,6
211,Western Sahara,6,, ,,5
212,British Virgin Islands,5,,1 ,,3
213,Caribbean Netherlands,5,, ,,
214,South Sudan,5,+1, ,,
215,Sao Tome and Principe,4,, ,,
216,Anguilla,3,, ,,1
217,Saint Pierre Miquelon,1,, ,,
218,Yemen,1,, ,,1
219,China,"82,804",+6,"4,632 ",,"77,257"
